"STATISTIC","Statistic Label","TLIST(A1)","Census Year","C04167V04938","Electoral Divisions","UNIT","VALUE"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d45-13a3-e055-000000000001","Clontarf East C, Dublin City","Number","3189"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d46-13a3-e055-000000000001","Clontarf East D, Dublin City","Number","2859"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d47-13a3-e055-000000000001","Clontarf East E, Dublin City","Number","1748"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d48-13a3-e055-000000000001","Clontarf West A, Dublin City","Number","3758"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d49-13a3-e055-000000000001","Clontarf West B, Dublin City","Number","2395"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d4a-13a3-e055-000000000001","Clontarf West C, Dublin City","Number","4130"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d4b-13a3-e055-000000000001","Clontarf West D, Dublin City","Number","2530"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d4c-13a3-e055-000000000001","Clontarf West E, Dublin City","Number","2483"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d4d-13a3-e055-000000000001","Crumlin A, Dublin City","Number","3657"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d4e-13a3-e055-000000000001","Crumlin B, Dublin City","Number","3019"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d4f-13a3-e055-000000000001","Crumlin C, Dublin City","Number","2364"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d50-13a3-e055-000000000001","Crumlin D, Dublin City","Number","4190"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d62-13a3-e055-000000000001","Crumlin E, Dublin City","Number","2916"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d63-13a3-e055-000000000001","Crumlin F, Dublin City","Number","3141"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d64-13a3-e055-000000000001","Decies, Dublin City","Number","2713"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d65-13a3-e055-000000000001","Drumcondra South A, Dublin City","Number","5923"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d66-13a3-e055-000000000001","Drumcondra South B, Dublin City","Number","1889"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d67-13a3-e055-000000000001","Drumcondra South C, Dublin City","Number","3337"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d68-13a3-e055-000000000001","Drumfinn, Dublin City","Number","3632"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d69-13a3-e055-000000000001","Edenmore, Dublin City","Number","2831"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d6a-13a3-e055-000000000001","Finglas North A, Dublin City","Number","3205"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d6b-13a3-e055-000000000001","Finglas North B, Dublin City","Number","2922"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d6c-13a3-e055-000000000001","Finglas North C, Dublin City","Number","3678"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d6d-13a3-e055-000000000001","Finglas South A, Dublin City","Number","2909"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d6e-13a3-e055-000000000001","Finglas South B, Dublin City","Number","4457"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d6f-13a3-e055-000000000001","Finglas South C, Dublin City","Number","2566"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d70-13a3-e055-000000000001","Finglas South D, Dublin City","Number","2543"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d71-13a3-e055-000000000001","Grace Park, Dublin City","Number","6272"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d7f-13a3-e055-000000000001","Grange A, Dublin City","Number","12598"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d80-13a3-e055-000000000001","Grange B, Dublin City","Number","7438"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d81-13a3-e055-000000000001","Grange C, Dublin City","Number","3086"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d82-13a3-e055-000000000001","Grange D, Dublin City","Number","3952"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d83-13a3-e055-000000000001","Grange E, Dublin City","Number","2578"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d84-13a3-e055-000000000001","Harmonstown A, Dublin City","Number","2848"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d85-13a3-e055-000000000001","Harmonstown B, Dublin City","Number","2921"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d86-13a3-e055-000000000001","Inchicore A, Dublin City","Number","2557"
