STATISTIC,STATISTIC Label,TLIST(A1),Year,Town,C02172V02618,Type of Vehicle Registration,C01841V02268,Type of Fuel,UNIT,VALUE
TEA17,New Vehicles Licensed for the First Time,2021,2021,Clondalkin,014,New Motor Cycles,6,Electric,Number,66
TEA17,New Vehicles Licensed for the First Time,2021,2021,Clondalkin,015,New Exempt Vehicles,6,Electric,Number,60
TEA17,New Vehicles Licensed for the First Time,2021,2021,Lucan,01601,New Public Service Vehicles,6,Electric,Number,42
TEA17,New Vehicles Licensed for the First Time,2021,2021,Lucan,016011,New Small Public Service Vehicles,6,Electric,Number,40
TEA17,New Vehicles Licensed for the First Time,2021,2021,Lucan,016012,New Large Public Service Vehicles,6,Electric,Number,2
TEA17,New Vehicles Licensed for the First Time,2021,2021,Lucan,01604,New Machines or Contrivances,6,Electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2021,2021,Lucan,01605,Other Classes New Other Vehicles,6,Electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2022,2022,Lucan,-,All Vehicles,6,Electric,Number,16268
TEA17,New Vehicles Licensed for the First Time,2022,2022,Lucan,011,New Private Cars,6,Electric,Number,15462
TEA17,New Vehicles Licensed for the First Time,2022,2022,Lucan,012,New Goods Vehicles,6,Electric,Number,411
TEA17,New Vehicles Licensed for the First Time,2022,2022,Palmerstown Fonthill,013,New Tractors,6,Electric,Number,1
TEA17,New Vehicles Licensed for the First Time,2022,2022,Palmerstown Fonthill,014,New Motor Cycles,6,Electric,Number,81
TEA17,New Vehicles Licensed for the First Time,2022,2022,Rathfarnham_Templeogue,015,New Exempt Vehicles,6,Electric,Number,241
TEA17,New Vehicles Licensed for the First Time,2022,2022,Rathfarnham_Templeogue,01601,New Public Service Vehicles,6,Electric,Number,68
TEA17,New Vehicles Licensed for the First Time,2022,2022,Rathfarnham_Templeogue,016011,New Small Public Service Vehicles,6,Electric,Number,57
TEA17,New Vehicles Licensed for the First Time,2022,2022,Rathfarnham_Templeogue,016012,New Large Public Service Vehicles,6,Electric,Number,11
TEA17,New Vehicles Licensed for the First Time,2022,2022,Rathfarnham_Templeogue,01604,New Machines or Contrivances,6,Electric,Number,3
TEA17,New Vehicles Licensed for the First Time,2022,2022,Tallaght Central,01605,Other Classes New Other Vehicles,6,Electric,Number,1
TEA17,New Vehicles Licensed for the First Time,2023,2023,Tallaght South,-,All Vehicles,6,Electric,Number,23762
TEA17,New Vehicles Licensed for the First Time,2023,2023,Tallaght South,011,New Private Cars,6,Electric,Number,22493
TEA17,New Vehicles Licensed for the First Time,2023,2023,Jobstown,012,New Goods Vehicles,6,Electric,Number,734
TEA17,New Vehicles Licensed for the First Time,2023,2023,Rathfarnham -Templeogue,013,New Tractors,6,Electric,Number,2
TEA17,New Vehicles Licensed for the First Time,2023,2023,Rathfarnham -Templeogue,014,New Motor Cycles,6,Electric,Number,70
TEA17,New Vehicles Licensed for the First Time,2023,2023,Rathfarnham -Templeogue,015,New Exempt Vehicles,6,Electric,Number,372
TEA17,New Vehicles Licensed for the First Time,2023,2023,Rathfarnham -Templeogue,01601,New Public Service Vehicles,6,Electric,Number,82
TEA17,New Vehicles Licensed for the First Time,2023,2023,Rathfarnham -Templeogue,016011,New Small Public Service Vehicles,6,Electric,Number,42
TEA17,New Vehicles Licensed for the First Time,2023,2023,Rathfarnham -Templeogue,016012,New Large Public Service Vehicles,6,Electric,Number,40
TEA17,New Vehicles Licensed for the First Time,2023,2023,Rathfarnham -Templeogue,01604,New Machines or Contrivances,6,Electric,Number,5
